=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step4680/46784 loss=0.2340 lm=0.1997 name=0.0343 name_acc=0.989 tok/s=65,454
ep0 step4700/46784 loss=0.5093 lm=0.2273 name=0.2821 name_acc=0.932 tok/s=65,462
ep0 step4720/46784 loss=0.4655 lm=0.2676 name=0.1979 name_acc=0.933 tok/s=65,470
ep0 step4740/46784 loss=0.8382 lm=0.4751 name=0.3631 name_acc=0.892 tok/s=65,477
ep0 step4760/46784 loss=0.2542 lm=0.1541 name=0.1001 name_acc=0.976 tok/s=65,481
ep0 step4780/46784 loss=0.3373 lm=0.1500 name=0.1873 name_acc=0.930 tok/s=65,490
ep0 step4800/46784 loss=0.4606 lm=0.4104 name=0.0503 name_acc=0.989 tok/s=65,496
ep0 step4820/46784 loss=0.1845 lm=0.1845 name=0.0000 name_acc=1.000 tok/s=65,512
ep0 step4840/46784 loss=0.3334 lm=0.2591 name=0.0743 name_acc=0.966 tok/s=65,518
ep0 step4860/46784 loss=0.4322 lm=0.2029 name=0.2293 name_acc=0.885 tok/s=65,524
ep0 step4880/46784 loss=0.5677 lm=0.2724 name=0.2953 name_acc=0.860 tok/s=65,527
ep0 step4900/46784 loss=0.4656 lm=0.2870 name=0.1786 name_acc=0.935 tok/s=65,530
ep0 step4920/46784 loss=0.3077 lm=0.1915 name=0.1161 name_acc=0.956 tok/s=65,535
ep0 step4940/46784 loss=0.8563 lm=0.3733 name=0.4829 name_acc=0.905 tok/s=65,533
ep0 step4960/46784 loss=0.3216 lm=0.1882 name=0.1334 name_acc=0.963 tok/s=65,535
ep0 step4980/46784 loss=0.5993 lm=0.3282 name=0.2711 name_acc=0.900 tok/s=65,536
ep0 step5000/46784 loss=0.2351 lm=0.1499 name=0.0851 name_acc=0.968 tok/s=65,538
  dev@5000: 0.4649
ep0 step5020/46784 loss=0.7936 lm=0.3195 name=0.4741 name_acc=0.857 tok/s=65,376
ep0 step5040/46784 loss=0.2920 lm=0.1839 name=0.1081 name_acc=0.972 tok/s=65,378
ep0 step5060/46784 loss=0.6206 lm=0.4133 name=0.2073 name_acc=0.902 tok/s=65,380
